Dimensión,Pasos (m),Repeticiones (n),Distancia Promedio,Distancia Máxima,Tiempo Ejecución (s)
1D,100,100,7.04,26.0,0.0032
1D,100,1000,7.742,34.0,0.022
1D,100,10000,8.084,40.0,0.2534
1D,1000,100,25.98,68.0,0.0245
1D,1000,1000,25.544,98.0,0.1892
1D,1000,10000,25.416,126.0,1.8171
1D,10000,100,79.98,268.0,0.1844
1D,10000,1000,78.974,346.0,1.7939
1D,10000,10000,80.333,448.0,19.0254
2D,100,100,12.782,33.106,0.0036
2D,100,1000,12.412,40.792,0.0361
2D,100,10000,12.541,44.181,0.3816
2D,1000,100,40.471,129.692,0.0416
2D,1000,1000,40.257,134.06,0.4156
2D,1000,10000,39.756,147.105,3.8989
2D,10000,100,134.517,379.436,0.4009
2D,10000,1000,125.296,452.593,3.9819
2D,10000,10000,125.342,446.663,40.512
